Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\CW\CW_PP_55_Das\CW_PP_55_Das_01_Slot1-01_1_12599.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_02_Slot1-02_1_12600.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_03_Slot1-03_1_12601.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_04_Slot1-04_1_12602.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_05_Slot1-05_1_12603.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_06_Slot1-06_1_12604.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_07_Slot1-07_1_12605.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_08_Slot1-08_1_12606.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_09_Slot1-09_1_12607.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_10_Slot1-10_1_12608.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_11_Slot1-11_1_12609.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_12_Slot1-12_1_12610.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_13_Slot1-13_1_12611.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_14_Slot1-14_1_12612.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_15_Slot1-15_1_12613.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_16_Slot1-16_1_12614.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_17_Slot1-17_1_12615.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_18_Slot1-18_1_12616.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_19_Slot1-19_1_12617.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_20_Slot1-20_1_12618.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_21_Slot1-21_1_12619.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_22_Slot1-22_1_12620.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_23_Slot1-23_1_12621.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_24_Slot1-24_1_12622.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_25_Slot1-25_1_12623.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_26_Slot1-26_1_12624.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_27_Slot1-27_1_12625.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_28_Slot1-28_1_12626.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_29_Slot1-29_1_12627.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_30_Slot1-30_1_12628.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_31_Slot1-31_1_12629.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_32_Slot1-32_1_12630.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_33_Slot1-33_1_12631.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_34_Slot1-34_1_12632.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_35_Slot1-35_1_12633.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_36_Slot1-36_1_12634.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_37_Slot1-37_1_12635.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_38_Slot1-38_1_12636.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_39_Slot1-39_1_12637.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_40_Slot1-40_1_12638.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_41_Slot1-41_1_12639.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_42_Slot1-42_1_12640.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_43_Slot1-43_1_12641.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_44_Slot1-44_1_12642.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_45_Slot1-45_1_12643.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_46_Slot1-46_1_12644.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_47_Slot1-47_1_12645.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_48_Slot1-48_1_12646.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_49_Slot1-49_1_12709.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_50_Slot1-50_1_12710.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_51_Slot1-51_1_12663.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_52_Slot1-52_1_12664.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_53_Slot1-53_1_12665.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_54_Slot1-54_1_12666.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_55_Slot1-55_1_12667.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_56_Slot1-56_1_12668.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_57_Slot1-57_1_12669.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_58_Slot1-58_1_12670.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_59_Slot1-59_1_12671.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_60_Slot1-60_1_12672.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_61_Slot1-61_1_12673.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_62_Slot1-62_1_12674.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_63_Slot1-63_1_12675.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_64_Slot1-64_1_12676.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_65_Slot1-65_1_12677.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_66_Slot1-66_1_12678.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_67_Slot1-67_1_12679.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_68_Slot1-68_1_12680.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_69_Slot1-69_1_12681.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_70_Slot1-70_1_12682.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_71_Slot1-71_1_12683.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_72_Slot1-72_1_12684.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_73_Slot1-73_1_12685.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_74_Slot1-74_1_12686.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_75_Slot1-75_1_12687.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_76_Slot1-76_1_12688.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_77_Slot1-77_1_12689.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_78_Slot1-78_1_12690.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_79_Slot1-79_1_12691.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_80_Slot1-80_1_12692.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_81_Slot1-81_1_12693.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_82_Slot1-82_1_12694.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_83_Slot1-83_1_12695.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_84_Slot1-84_1_12696.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_85_Slot1-85_1_12697.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_86_Slot1-86_1_12698.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_87_Slot1-87_1_12699.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_88_Slot1-88_1_12700.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_89_Slot1-89_1_12701.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_90_Slot1-90_1_12702.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_91_Slot1-91_1_12703.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_92_Slot1-92_1_12704.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_93_Slot1-93_1_12705.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_94_Slot1-94_1_12706.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_95_Slot1-95_1_12707.d	E:\CW\CW_PP_55_Das\CW_PP_55_Das_96_Slot1-96_1_12708.d
A0A0B4J2D5;P0DPI2	P0DPI2;P0DPI2-2;A0A0B4J2D5;A0A0B4J2D5-2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	22747.3	18717.7	26142.9	24543	22110.5	26869.6	26436.8	26284.4	24973.4	21881.7	28174.1	15534.3	25805.4	24788.3	30900.6	31781.7	30963.6	31575.2	26600.5	29621.8	28514.4	27607.8	31423.4	19317.6	12539.6	15078.8	17537.3	16774.4	13246.9	16291.7	16454.1	13767.5	13976.4	18440.8	10827.5	10764.9	15404	16661.6	17011.3	13869.8	17732.5	15280.1	15453.4	16371.2	17664.8	15769.2	17747.2	10868.6	11416.1	14353.2	18080.9	12988.3	13739.7	13180.8	11555.5	12486.5	12770.1	9892.38	10212.8	10185.3	12382.5	11483.8	14295.9	10940.4	14349.3	13009.7	12479.9	12691.7	10029.9	14657.4	12615	9092.14	10695.7	10940.7	12791.8	10939.6	14839.7	9967	13270.6	13734.4	13364.9	11473.2	11785.4	9514.1	10604.7	11978.3	12564.4	11445.3	13194.6	13963.9	13189.6	13119	12007.9	12513.6	9448.68	9792.94
A0AV96;A0AV96-2	A0AV96;A0AV96-2	RBM47_HUMAN	RBM47	RNA-binding protein 47	2603.2	4034.64	3130.91	3407.07	2786.4	4687.59	3287.95	3646.48	3735.87	2880.72	3681.69	3487.74	4177.32	3843.75	3731.02	4342.56	3698.58	4244.87	3672.03	3815.14	4444.43	3478.08	4709.96	4142.35		2343.91	2106.43	1955.15	2067.61	2190.72	2705.86	3583.09	1340.69	2760.92	2411.62	2562.05	1910.33			1961.13	1945.98	2215.34			2479.46	2051.39	2840.6	1443.35			2990.01	1922.44	1991.11	1856.33		1195.25			2574.78	2057.74	1675.9	3359.41		1782.33	1639.43			3044.09	1829.89		2307.86	2734.28		2588.53				1625.47	2342	1652.36		3297.08		1695.03		3269.58		1819.69							1513.92	
A0AVT1	A0AVT1;A0AVT1-3;A0AVT1-4	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	19369.2	14788.6	24283.5	17067.1	15519.4	25850.2	17365.2	20780.9	18731.7	18140.4	23964.8	24567.4	29633.6	23181.8	25918.6	25646.4	26396.7	28381.3	23751.9	24272.2	26549	20650.9	24946.9	31110.2	19746.5	25240.9	23397.9	23682	22610.6	27004.5	25387.3	23063	23805.1	26588.6	28916.7	27104.9	26494.1	22942.9	23419.1	23091.4	27597.4	26252.1	24972.1	20987.1	29892.5	18834.6	30724.6	20361.5	27545	28371.1	31546.6	30182	28960.7	28978.9	26891.5	29570.1	29650.9	25686.6	27504.6	30213.2	28729.7	26618.1	34977	29973.6	32430.2	31759.3	28338.7	30060.5	26899.6	28969.2	29046.4	30965.6	26401.3	26315.9	26722.7	26914	32957.4	25968.7	29233.3	29308	27779.9	30819.2	29856.4	29277.3	23024.1	26261.2	26606.3	25457.4	27263.2	30395.5	28750.3	29917.9	27595.3	26389.6	25060	25499.2
A0FGR8-2	A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-5;A0FGR8-6	ESYT2_HUMAN	ESYT2		9214.33	7072.04	10304	6160.35	9139.57	13811.1	9153.7	10450.4	9621.4	6675.52	13204.2	12976.9	14225.5	10404.5	11680.1	12974.5	11871.8	13294.5	12042.9	11241.2	12636.5	8791	12058.4	15178.5	8843.86	9326.44	9040.81	8152.87	7726.79	9138.95	9425.6	8176.36	8510.08	10641.7	9409.09	8283.82	8752.17	8798.91	8435.35	8336.25	8940.57	10281	8405.3	8593.67	9493.06	7330.67	9774.9	8658.39	10395	10436.8	10999.3	10187.2	10524.5	9515.45	9392.2	9397.2	10177.1	9173.41	10031.2	9770.44	10607.6	10017.3	11944.9	10960.8	10162.9	11970.2	9928.16	9622.11	9960.21	11076.4	9610.2	9097.73	8853.04	10010.2	9154.19	10339.5	10865.8	9044.59	10812	9323.91	10700.9	9923.12	9836.78	9115.09	9172.34	9321.42	9572.81	8769.88	8424.57	9259.33	10591	9959.49	10138.5	9388.23	9129.36	8598.34
A0JNW5	A0JNW5;A0JNW5-2	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like									1822.01					591.006		254.002	1310.01	1653.01	1601.01	1757.02		917.008	2076.02	1400.01	1197.01	1082.01	425.004		1167.01		1159.01						1083.01		967.008				889.007	278.003					601.006		580.006	279.002		392.004	406.005			423.005					570.006		681.007		696.008	444.004	779.007			673.006				501.005		429.004		424.004	519.005						455.005					880.008				511.005
A0MZ66;A0MZ66-3;A0MZ66-8	A0MZ66;A0MZ66-3;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66-7;A0MZ66-8	SHOT1_HUMAN	SHTN1	Shootin-1	3605.63	2935.99	4662.56	4035.03	4517.61	5045.06	3700.19	4531.29	4090.46	3432.33		4826.11	5353.34	3977.56	7067.29	6102.18	5112	5217.79	4686.3	5627.61	4687.07	3522.55	5759.06	6433.7	3078.23	4753.23	3335.61		2372.58	4197.27	4033.59	2927.56	2718.72	3543.17	3970.4	2740.46	4024.52	3637.19	4343.29	3627.04	4023.46	2771.71	4203.53	3959.09	4246.47	2343.53	3599.19	2843.27	3565.65	3900.14	4673.65	4024.32	3428.65	3828.63	3604.29	3754.43	4693.54	3076.27	3970.22	3394.15	3657.96	3750.67	3830.16	3754.99	3985.04	4048.14	2924.51	4247.59	3395.7	3448.84	3506.6	3556.63	2957.97	3179.98	3747.6	3771.02	3815.9	3196.55	3412.31	4089.6	3672.99	3351.45	3442.46	3885.72	3125.31	3683.67	3703.75	3574.57	3471.76	3766.31	3908.29	4138.31	3541.15	4448.08	2733.85	3145.33
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9774.98	11188.5	10709.2	13896.3	8234.11	13264.7	14066.3	10022	9689.21	7616.43	8780.01	10916.7	15748.6	11363.4	13932.5	14085.2	12293.8	15068.7	12158.7	12221	14453.3	8389.49	10263.7	14068.1	3854.99	5263.07	4665.48	5242.65	4756.04	5845.74	5918.26	5544.81	5004.3	5763.03	4847.75	4559.09	4930.92	4322.72	4475.51	4805.43	4832.22	5157.81	4552.79	5050.42	5517.24	3852.67	4804.25	3887.51	3685.57	3421.52	3559.45	3467.79	2824.67	3059.47	3408.01	3441.07	3272.96	3162.64	2951.49	3488.27	2843.15	3142.93	3923.23	3437.82	3646.63	3789.2	2913.41	3083.36	3276.61	3833.7	3175.33	2967.86	2624.47	2154.29	3433.46	2229.44	3194.76	2506.26	2961.22	2854.34	2975.8	2898.17	3628.58	2222.36	2647.23	2755.57	3009.58	2759.44	2673.66	3206.31	3346.83	2601.76	3499.15	3066.17	2461.41	2747.74
A2RRP1	A2RRP1;A2RRP1-2	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	8332.12	7212.57	8957.01	9352.55	6983.65	11427.2	7154.37	8920.95	8945.43	7524.59	8223.96	12080.8	12051.7	8818.5	10224.5	10980.6	10008.7	11845.2	9748.38	9515.03	10907.2	8047.52	9332.63	14043.4	6922.95	7563.24	5950.23	5982.01	6608.87	8369.81	7128.17	6367.57	6829.34	7077.19	8587.66	8064.97	7498.07	5804.32	6173.86	6834.05	6988.63	6945.48	6683.06	6122.13	8368.13	4371.99	7648.89	7911.97	8196.36	7973.38	8158.52	8428.35	7509.07	8440.78	8856.25	7828.57	8636.14	9121.22	8238.17	8071.56	9146.85	7997.71	8826.76	9539.25	8927.77	9439.96	9317.47	8852.54	7790.81	8480.88	8039.22	7689.58	7760.84	7204.56	6412.51	8166.23	8463.86	8015.03	8236.21	8431.47	7610.54	7646.82	8508.92	8191.74	6922.04	6675	8161.92	7060.07	7321.92	8310.18	7768.32	8715.17	8554.43	8446.45	7289.65	6491.68
A3KMH1;A3KMH1-3	A3KMH1;A3KMH1-2;A3KMH1-3	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	1987.04		2865.37			2410.01	2244.42		1169.49				1888.45	2250.32		1495.29	1171.05	2112.02		1398.08	2144.54	1521.7	1905.52	2662.82	1276.54	853.698	1373.71	1601.87	1663.07			2046.44		1291.8	1094.99	2059.03			752.837	1453.97	1270.19	982.721	1123.17	1376.86	1137.73			1155.81	1587.45	1624.56	1761.76	1557.74	2036.81	1572.4	1634.91	1814.32	2109.16	1518.24	1842.13	1622.49	1678.75	1658.69	1700.91	1565.49	2172.62	2104	2118.16	2128.43	1484.98	2011.91	1641.16	2166.69	1451.48	1661.07	1637.06	1266.09	2264.09	2058.16	2301.02	1591.63	2058.76	1766.18	1670.89	1925	1522.21	1805.52	1906.5	1532.09	1581.73	2000.46	2154.92	1509.69	2121.71	1531.57	1356.5	1698.73
A3KN83;A3KN83-2;A3KN83-3	A3KN83;A3KN83-2;A3KN83-3;A3KN83-4	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	10965.3	10405.3	12301.1	9861.55	9932.93	13176	10805.6	11590.8	10674.7	9432.58	13941.4	13047.6	13776.8	11581.3	14084.8	15288.4	13414.6	14406.9	12756.3	13168	14709.3	10369.8	14129.8	16331.2	7243.35	9655.12	8001.09	8763.36	7554.53	9983.99	9985.06	7751.87	8321.93	10116.1	9842.25	9460.41	9941.49	8697.13	8722.58	7913.27	9770.74	9219.44	8906.6	8464.9	9555.18	7191.96	9802.95	8692.02	10191.2	9079.22	11441.5	9875.97	10137.3	9349.1	8496.69	9519.07	10056.4	9435.05	9728.85	10070.4	10838.4	10111.7	11703.2	10934.2	10888.2	11655.6	9976.13	10496.6	10988.8	11566.2	10085.4	9712.72	7887.56	9393.48	9225.31	8877.16	11790.7	8541.87	10356.1	10267.1	11013.5	10181.9	10017.6	10036.7	8301.12	8909.2	9704.31	8281.44	9298.48	9420.46	10584.3	9800.05	10727.8	9401.36	8340.83	7067.04
